PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
24801,19,Male,USA,Action,12.2054,0,Hard,19,169,76,14,High
20042,23,Male,USA,Simulation,20.6898,1,Medium,1,160,34,10,Low
48211,18,Male,USA,RPG,18.3588,1,Medium,15,40,63,26,Medium
36194,44,Male,Europe,Strategy,1.3705,0,Medium,15,26,15,8,Medium
33791,29,Male,USA,Sports,20.4909,0,Easy,5,145,73,43,Medium
35168,25,Female,USA,Simulation,11.0808,1,Easy,18,140,61,22,Medium
9898,43,Male,Europe,RPG,3.4516,1,Easy,19,141,55,28,High
44052,49,Female,Other,Sports,0.9678,0,Easy,3,76,75,26,Low
37328,18,Male,Europe,Strategy,3.9442,0,Medium,16,106,1,18,High
40443,17,Female,Europe,RPG,6.9285,0,Medium,3,160,92,35,Medium
15461,33,Female,USA,Simulation,8.586,0,Easy,4,86,27,0,Medium
41667,19,Female,USA,Simulation,11.0499,0,Easy,15,111,39,44,High
10373,35,Male,USA,Action,9.4197,0,Medium,1,179,41,9,Low
27126,30,Female,USA,RPG,4.8345,0,Medium,0,88,90,34,Low
17611,17,Male,USA,Action,21.272,0,Easy,15,151,56,43,High
21566,46,Male,Asia,Simulation,15.813,0,Hard,14,166,97,26,High
9206,36,Male,Other,Simulation,13.4488,0,Medium,5,107,49,16,Medium
37678,26,Female,USA,Simulation,16.2219,1,Easy,1,45,31,42,Low
29388,38,Female,Europe,Action,18.4228,0,Medium,0,109,97,34,Low
47762,28,Male,Europe,Action,18.2448,0,Hard,19,81,71,13,High
21387,32,Female,Asia,Strategy,17.7525,0,Easy,1,41,33,26,Low
39725,33,Male,Europe,Strategy,18.4475,0,Easy,11,158,5,28,High
34444,30,Male,Asia,RPG,20.0608,0,Easy,8,50,54,16,Medium
47360,29,Male,Europe,Strategy,10.3887,1,Easy,6,77,18,18,Medium
37572,26,Female,USA,Action,7.6116,0,Easy,15,46,71,18,Medium
28949,16,Female,USA,Sports,3.2731,0,Easy,13,171,11,22,High
41206,22,Male,Europe,Simulation,4.7367,1,Easy,14,122,59,3,High
37189,37,Female,Asia,Action,8.4576,0,Medium,3,109,50,33,Low
11168,40,Male,USA,Action,17.7355,0,Easy,2,136,17,17,Low
39816,22,Male,Asia,Strategy,4.0874,0,Medium,6,111,33,11,Medium
17885,44,Male,Europe,Simulation,9.0155,0,Easy,18,176,70,25,High
25873,20,Male,Europe,Action,2.313,0,Easy,19,144,55,36,High
44103,41,Male,Other,Simulation,11.0651,0,Easy,18,173,63,6,High
31668,40,Male,Europe,Simulation,1.6197,0,Medium,0,113,79,0,Low
44613,46,Male,Europe,Sports,22.9474,0,Hard,12,134,63,33,High
18530,25,Male,USA,Strategy,7.2928,1,Easy,2,35,70,30,Medium
18651,17,Male,Europe,Simulation,14.6142,0,Easy,0,102,39,49,Low
45765,34,Male,Asia,Action,22.2973,0,Easy,12,15,51,31,Low
29874,43,Male,USA,Action,19.9127,0,Easy,19,97,32,49,High
30746,16,Male,USA,Strategy,3.7322,0,Medium,6,99,77,37,Medium
48590,31,Male,USA,RPG,19.2951,0,Easy,2,104,99,12,Low
45487,35,Female,Europe,Strategy,0.2929,0,Easy,2,124,42,5,Low
28259,42,Male,Asia,Simulation,18.3073,0,Medium,2,132,15,48,Low
14090,48,Male,USA,Action,18.3115,0,Medium,1,124,72,40,Low
18709,28,Female,Europe,Simulation,5.1222,0,Easy,12,124,42,46,High
30008,28,Female,USA,Strategy,9.0293,0,Medium,0,123,84,8,Low
39936,37,Female,USA,Action,12.14,1,Easy,3,142,36,37,Medium
35379,20,Male,USA,Strategy,16.5004,0,Easy,7,61,38,6,Medium
15853,48,Female,USA,Strategy,7.2155,0,Easy,13,167,58,20,High
13943,28,Female,USA,Sports,3.9784,0,Medium,4,22,68,9,Low
25190,22,Male,Other,Strategy,19.2385,1,Medium,6,110,68,15,Medium
20469,28,Male,Europe,Simulation,14.7631,0,Easy,13,87,71,14,Medium
47331,39,Male,Other,Strategy,4.3881,1,Easy,14,101,32,11,High
42577,42,Male,Europe,RPG,19.7234,0,Easy,15,155,45,19,High
31987,35,Female,Europe,RPG,5.5036,0,Hard,7,102,83,40,Medium
22177,21,Female,Other,Action,4.853,0,Medium,6,164,1,45,Medium
20247,33,Male,USA,Strategy,13.716,0,Easy,12,111,40,36,High
33925,20,Female,Asia,RPG,12.3864,0,Medium,7,164,94,31,Medium
17611,18,Female,USA,Simulation,5.9396,0,Medium,17,104,54,29,High
33446,38,Male,Europe,Action,2.5325,0,Easy,10,179,91,3,High
45598,22,Male,USA,Strategy,17.9285,0,Hard,2,133,27,9,Low
19818,16,Female,Europe,Sports,2.7962,0,Easy,6,144,70,14,Medium
44034,16,Female,USA,Sports,0.8173,0,Hard,1,179,67,15,Low
46359,27,Male,USA,Strategy,21.9407,0,Medium,8,59,27,2,Medium
33904,32,Male,USA,Strategy,2.5773,0,Easy,6,48,17,21,Low
37952,20,Male,USA,Strategy,12.04,0,Easy,8,89,34,22,Medium
23995,40,Male,Europe,Action,15.4447,0,Hard,15,67,44,28,Medium
18002,39,Male,USA,Sports,22.6978,0,Hard,6,141,9,19,Medium
42087,49,Male,USA,RPG,10.7415,0,Easy,19,48,89,17,Medium
14496,29,Male,Europe,Simulation,6.6442,0,Easy,13,111,28,2,High
41922,38,Female,USA,RPG,16.2757,0,Easy,9,90,27,1,Medium
22349,41,Female,Other,Simulation,17.6843,0,Easy,5,125,5,10,Medium
35367,21,Female,USA,Simulation,9.089,0,Medium,18,20,67,15,Medium
45259,28,Female,USA,Sports,10.2455,0,Easy,8,57,11,5,Medium
33684,41,Male,Asia,Action,19.2057,1,Easy,2,40,28,10,Low
23718,39,Female,Other,Sports,15.5569,0,Easy,13,167,88,6,High
18181,45,Male,Other,Strategy,5.5802,1,Easy,13,27,16,36,Medium
38206,31,Male,USA,Simulation,15.2698,0,Medium,4,48,99,46,Medium
33206,40,Male,Asia,Simulation,20.2367,0,Medium,6,112,9,38,Medium
46667,48,Male,USA,Simulation,0.4094,0,Medium,11,143,54,13,High
42472,49,Female,Europe,Action,10.2309,0,Hard,10,95,21,27,Medium
11585,45,Male,Europe,RPG,12.4155,0,Easy,12,29,48,25,Medium
24878,24,Female,USA,Strategy,1.0178,0,Easy,14,109,10,14,High
43909,43,Female,Europe,Simulation,23.1421,1,Hard,8,86,38,37,Medium
27312,38,Male,USA,Action,19.9826,0,Medium,9,99,79,17,Medium
36602,42,Female,USA,Action,7.3743,0,Easy,10,15,74,10,Low
28291,34,Male,Europe,Strategy,13.4572,0,Easy,9,52,2,13,Medium
24058,26,Female,Other,Sports,17.4512,0,Medium,14,51,31,44,Medium
36390,19,Male,Asia,Simulation,14.3023,1,Easy,15,30,87,5,Medium
25875,26,Female,USA,Sports,19.1093,0,Easy,17,110,92,44,High
38430,18,Male,USA,Action,9.4462,1,Medium,14,137,77,9,High
28003,43,Male,Europe,Action,12.7283,0,Medium,19,81,42,28,High
41711,27,Male,Europe,Action,20.6204,0,Easy,2,135,61,19,Low
41782,15,Female,Asia,Simulation,5.6386,1,Medium,19,112,94,38,High
22399,23,Female,USA,Sports,2.103,0,Hard,9,134,21,7,Medium
18160,20,Female,Asia,Strategy,0.1111,0,Easy,7,110,74,4,Medium
32958,38,Female,Europe,Action,10.051,1,Easy,1,155,17,40,Low
14901,48,Male,Europe,RPG,23.3998,0,Easy,11,41,13,27,Medium
